SFR [Msun / yr],Stellar Metallicity [Mz/Mtot]
14.509705,0.012480934
0.26106513,0.0061913216
0.5078292,0.0055111186
0.0,0.005778818
0.0,0.0056214924
0.50834996,0.0042236303
0.42565426,0.0048284917
0.13803293,0.0062547517
0.3468862,0.011221335
29.55609,0.076027825
0.0,0.030774891
0.0,0.017716458
0.0,0.00908203
0.0,0.018126503
0.47099948,0.005599067
0.75207454,0.005298351
0.55484194,0.005543252
1.7837014,0.013788324
0.0,0.016440783
0.10521752,0.0050729974
0.85266083,0.005498094
0.0,0.010297887
1.6101689,0.003912841
0.7439717,0.00473085
0.76670074,0.0045329174
3.1245985,0.0036970116
0.5622749,0.004606644
0.0,0.020928599
0.2015027,0.005091495
0.0037167259,0.0063265013
0.09701387,0.006628524
0.0,0.042077757
0.0,0.007452573
0.41897914,0.0055083963
0.18086128,0.0058801877
0.5970093,0.0041247676
1.132392,0.005380906
0.15060094,0.005122726
0.016687553,0.008217474
0.0,0.0074799866
0.0,0.007865444
0.42853567,0.0056717647
0.72789073,0.003068279
0.0,0.0067017823
0.0,0.026575664
0.0,0.0057046274
0.4645261,0.0042046877
0.7785796,0.0048099956
0.22141494,0.0045573898
0.539668,0.004855342
0.4230663,0.0052316277
0.0,0.0135493
0.80423105,0.005051265
0.3672087,0.0027255577
0.5104398,0.0042841537
0.24191377,0.0064244666
0.039944794,0.006447581
5.536001,0.006791593
0.0,0.005993098
0.0,0.008274266
0.0020420174,0.007468079
0.31954628,0.004428627
1.575301,0.006888602
0.48755953,0.005235284
0.23929697,0.00578559
0.6616558,0.0063583017
2.3872547,0.0030768896
0.63046676,0.004039307
0.1071811,0.0062419376
0.5582865,0.0049085217
0.2876674,0.004901336
0.0,0.010654008
0.56965494,0.0053694043
0.12076745,0.0057317293
0.64898807,0.004128645
0.78747785,0.0050657843
0.30541557,0.0047116084
0.38046104,0.005115808
0.0,0.0072705164
0.523605,0.004822368
0.20077395,0.009844834
43.636997,0.050870158
0.0,0.005388266
0.30536726,0.005493343
0.12128235,0.0066884933
0.0,0.019460166
0.35479638,0.0037331686
0.106567174,0.016528852
0.25150385,0.006107592
0.09228771,0.0061232178
0.42942137,0.0050219586
0.0,0.03296987
0.0,0.013840943
0.40355015,0.0040154206
0.51484287,0.0033228628
2.2727394,0.0019618964
0.21129104,0.005534395
0.62776226,0.009972319
1.5026286,0.005540739
0.34220776,0.005181771
1.2247962,0.005094963
0.12777872,0.0063781
1.1122065,0.0040462273
0.46711943,0.012288657
0.6010142,0.004247442
3.2605762,0.0030419473
0.47433203,0.0037876791
0.25423622,0.0050302665
8.137352,0.012507114
0.3167381,0.0057673026
0.4331593,0.006066623
1.6183214,0.012136327
0.0063135787,0.0057886927
0.6466775,0.0039800582
0.47138143,0.0044926456
1.1312635,0.0048058936
0.65336937,0.004815612
0.0,0.0054187407
0.094434425,0.005165877
0.6783108,0.004403598
0.0077820458,0.007847585
0.24548757,0.0049883556
0.66530854,0.0052142283
0.6617067,0.00461925
0.9443447,0.006518671
0.3371136,0.004549654
0.05408068,0.007266029
0.038020603,0.0058188373
0.08298753,0.005470832
12.745737,0.01042421
0.26855695,0.005458523
0.72653,0.005626794
0.56926316,0.005042015
0.2552165,0.0052631716
0.96459264,0.004141526
0.21532983,0.005778261
12.139746,0.08576846
0.40709686,0.0064562997
0.5768598,0.0032665485
0.62705606,0.0053335726
0.078790195,0.0076354565
0.78072387,0.00357175
0.25804314,0.004923061
0.26813045,0.004226166
0.24657044,0.005701523
0.30546004,0.009254921
0.0,0.006013826
9.663325,0.008446714
0.4384833,0.0057290643
0.0,0.0071012815
0.6222173,0.004203142
1.1738886,0.0037047567
0.0,0.007693509
