SFR [Msun / yr],Stellar Metallicity [Mz/Mtot]
0.50557786,0.0046017305
1.1274766,0.0038016443
0.9390972,0.0042927954
0.99101496,0.0046950695
0.92290664,0.005071824
0.0,0.004522509
0.0,0.007261252
0.647398,0.0072556203
2.314296,0.0038019407
0.5815836,0.0039494196
0.60452527,0.004595285
0.0011023143,0.00550054
0.0065567326,0.0058652638
0.36151746,0.004701453
1.3050969,0.0046491763
0.0,0.006278091
18.285784,0.0070484397
7.098444,0.007814488
3.5292456,0.008116874
0.0,0.009981067
0.0,0.008763314
0.0,0.006843628
0.11793044,0.007842464
0.74522054,0.0052679228
0.5667131,0.0040615043
0.63272893,0.0048032477
0.0,0.0060275346
0.0,0.006804388
1.1401185,0.004660955
0.07569492,0.005131353
1.7949929,0.0035592043
0.7250042,0.0050302637
0.43358657,0.0055365446
0.03460252,0.0067868
2.7313342,0.013205888
0.0,0.008893918
0.0,0.005716191
0.0,0.004736353
0.0,0.0055640014
4.356615,0.0060903416
0.31096548,0.005774138
1.2658094,0.004244646
0.0,0.006833751
0.0,0.009327707
0.0,0.032892626
0.0,0.0059582246
0.3031736,0.0056639193
0.0,0.0051286155
0.0,0.005895139
1.5462054,0.0076183067
0.632974,0.005396564
0.2914264,0.0038412558
0.72028,0.0033904305
1.8044562,0.0035535276
0.12558806,0.005890843
0.754868,0.0062872563
1.3030796,0.0025121751
0.2558009,0.005203585
0.16712514,0.004197462
1.3062935,0.0038435287
0.05040227,0.0053112083
0.4559606,0.0045980713
3.637992,0.014319728
4.5316606,0.0063526956
0.25169918,0.006460567
8.715936,0.0064860145
18.816048,0.010537017
0.66864413,0.004581462
0.0,0.0066782683
0.21817417,0.0072967536
0.44806913,0.0050870846
0.33439785,0.0051545203
1.6090554,0.0028285715
0.9814029,0.0048521804
0.67718613,0.0054799747
0.0,0.012408385
0.73811996,0.003325006
0.9676239,0.004203738
1.4186392,0.0063393395
0.3621504,0.005829929
5.010566,0.013173611
0.12868384,0.0051805214
3.182925,0.012274247
5.0379524,0.009818153
0.8220584,0.004895253
0.3979713,0.005445188
0.4023885,0.0046169776
0.45228413,0.005464022
0.49308062,0.0057184
0.16856815,0.0053182323
0.48110387,0.005113551
0.75806075,0.005458078
0.8240225,0.0060103424
0.74369186,0.0062375665
0.02639236,0.012915479
0.0,0.014735034
1.1778601,0.004258368
0.30839217,0.0061740046
0.0,0.037806626
0.421944,0.0043706615
0.378639,0.006626395
0.63545763,0.0061347717
0.3205619,0.006813152
2.4658408,0.015727114
1.1161313,0.005162821
1.887838,0.003993119
1.062509,0.006648108
0.74261403,0.0057290066
0.45540464,0.0055546584
0.31771868,0.004718481
1.1391659,0.003277154
0.5285195,0.0048199603
0.9167635,0.0074536577
13.62184,0.038084287
0.48311406,0.0060573155
0.95289826,0.0072563435
0.6171877,0.0049627037
0.6257743,0.0052635856
0.6019844,0.0056123435
0.42638102,0.0055683423
0.0,0.019589743
0.71188384,0.006042566
0.66037303,0.00574124
17.38532,0.036277562
5.675006,0.02384603
0.08192866,0.0070631783
0.7833109,0.004254751
0.31106636,0.0049061193
0.5942514,0.005090812
0.031646635,0.006580515
