g band,r band,average stellar age [Gyr],prob spiral
-24.62716,-24.977457,12.261072631120268,0.054427266
-23.992016,-24.023205,11.67125749589605,0.63325137
-24.74671,-24.770617,11.554451537054877,0.76231676
-22.29113,-22.325727,11.63827356893841,0.4505311
-22.509832,-22.533306,11.684058142311994,0.62992656
-22.342161,-22.475967,11.731111115413508,0.57939154
-21.25442,-21.344816,11.74806921525994,0.7274718
-20.389257,-20.431469,11.679818922993348,0.02715087
-22.018211,-22.048946,11.636199390639323,0.66305214
-20.078787,-20.128307,11.755038831510081,2.3372913e-05
-20.497782,-20.489895,11.573672686401567,0.0068006516
-21.783285,-21.73309,11.172526289405562,0.74937356
-19.627802,-19.71141,11.860474318050112,1.2729077e-05
-19.066643,-19.216196,11.895121024757241,0.67812043
-20.058424,-20.168745,11.665180037693055,0.23778781
-20.618511,-20.69032,11.536231132952393,0.018423826
-19.642908,-19.702059,11.648261966775777,0.61010295
-19.682434,-19.738012,11.690314413275981,3.647898e-08
-19.168081,-19.667265,12.274931707303432,0.55834806
-20.951065,-20.89932,11.21204063909289,0.0023363829
-25.646038,-25.8581,12.069895511425761,0.68049586
-24.667578,-24.677097,11.300583985718337,0.73830944
-22.954073,-22.95737,11.591403815172153,0.24860558
-22.235504,-22.285019,11.536556151432686,0.0674364
-22.374348,-22.434187,11.80000052553713,0.1861481
-22.125294,-22.29265,11.815207977969337,0.31606233
-21.793644,-21.747658,11.26584769935893,0.67220104
-20.73865,-20.892519,11.993822064512472,0.7256148
-19.969234,-19.947311,11.730656882335667,0.75465775
-19.669983,-19.991688,11.920500575104523,0.63694286
-20.853228,-20.861305,11.291190478400512,0.119736314
-18.769295,-19.211645,12.088157452151473,0.0037597418
-19.812582,-19.91601,11.377595906208212,0.00078240037
-24.883533,-25.116972,12.1138092742593,0.7840127
-23.31908,-23.691717,11.902879365342288,0.00010104125
-22.725454,-22.810251,11.871314217612335,0.08707881
-22.275248,-22.299633,11.550883559565083,0.013910264
-20.415075,-20.460283,11.718816615314969,0.019474149
-20.308498,-20.3322,11.738136932527766,7.1537925e-06
-19.180843,-19.318148,11.894283196714946,0.6093617
-20.726633,-20.821766,11.491020117082922,2.6873056e-05
-20.738035,-20.720573,11.534077047893192,0.7635204
-24.78514,-24.960321,12.243713459579423,0.4886973
-24.30048,-24.292841,11.677434444672121,0.6925583
-24.167286,-24.320621,11.991286099235204,0.47016478
-22.554977,-22.598522,11.767570420442276,0.5807022
-21.327564,-21.40824,11.735193478392171,4.3584223e-05
-21.694273,-21.635273,11.551129788587389,0.0015234947
-22.094927,-22.112501,11.423952762115777,0.42998585
-23.579819,-23.889782,12.363170487298484,0.7176039
-23.354132,-23.451881,11.656502337234883,0.59191257
-23.743526,-23.70637,11.47784746582862,0.64226437
-22.540958,-22.564703,11.586074541706983,0.12144694
-21.986048,-21.961386,11.373855151724783,0.7213262
-21.48219,-21.48418,11.543483985677021,0.44609278
-19.754917,-19.81618,11.543730845153904,0.011912078
-19.514132,-19.5752,11.867972999864122,4.6460426e-07
-19.610199,-19.64774,11.779250728577122,0.03271368
-19.789482,-19.8187,11.588134915269888,0.718072
-19.78739,-19.825367,11.50317816852926,0.091854125
-21.077076,-21.0731,11.26854148766144,0.7844118
-25.21703,-25.348047,12.179676777406405,0.113634616
-19.796637,-19.825764,11.882726907626935,0.009613484
-20.559668,-20.541561,11.498461002849407,0.785321
-21.42361,-21.583735,11.821356933168985,0.5880129
-20.561853,-20.584677,11.477339278562908,2.3025598e-06
-24.848764,-24.89791,11.488935010834721,0.8678665
-23.380238,-23.527006,11.953562815467915,0.73899245
-23.105742,-23.131504,11.721098642481472,0.5230382
-22.47178,-22.535843,11.694937244909339,0.37974882
-21.42834,-21.39468,11.560712833223782,0.5579863
-19.7553,-20.07253,11.83397713097829,0.4865451
-19.255833,-19.379477,11.910762790574278,0.010488272
-19.86773,-19.841282,11.297718169051652,0.37134808
-24.692701,-24.860514,11.790479480583269,0.8265489
-22.336357,-22.32408,11.565367372188678,0.17960411
-22.635242,-22.719215,11.817060066717904,0.586915
-20.43945,-20.52951,11.743334539882495,0.5756535
-19.523256,-19.66192,11.84335041218683,2.1034787e-09
-21.478859,-21.41202,11.400153408774809,0.54407144
-19.746553,-19.95182,11.727020791563444,0.6336311
-18.958277,-19.239117,12.019332293139371,0.01875338
-25.50844,-25.467892,11.489503910074273,0.81543684
-23.473774,-23.469522,11.489124911138314,0.72310424
-22.087397,-22.220001,11.783351029862724,0.589859
-23.045792,-23.042791,11.331324656287013,0.6496513
-20.442348,-20.45997,11.50939059395781,9.8841745e-05
-24.870857,-24.893843,11.83234650885554,0.38129258
-23.866396,-23.953272,11.841710539192706,0.7353711
-21.521338,-21.485159,11.390694297625851,0.4858561
-21.769081,-21.94333,12.058733793318993,0.043296605
-21.690556,-21.59981,11.449677023595033,0.0033588111
-23.683622,-23.978308,12.23764004942927,0.42409205
-23.813126,-23.877151,11.822511272569653,0.6071023
-21.093307,-21.205473,11.57635352002557,0.03133726
-24.719654,-24.798056,11.838184398479969,0.34233636
-22.483984,-22.47402,11.476513404694533,0.729288
-22.523415,-22.76276,12.16214502679217,0.12191215
-22.260818,-22.290709,11.542248394716234,0.25531596
-22.497738,-22.555832,11.573429139314554,0.6037788
-24.98947,-25.104086,11.568897724220516,0.7152437
-21.28131,-21.347279,11.87385618060514,6.597872e-06
-20.603104,-20.557169,11.526623563120813,0.68293035
-20.360838,-20.612463,11.650560583114505,0.07258591
-19.056784,-19.349373,11.700931897876334,0.052264094
-23.931395,-23.93695,11.555680461802593,0.49628636
-23.308329,-23.293322,11.589951709701376,0.7743288
-22.431906,-22.439106,11.547232963630755,0.5092445
-21.414047,-21.50244,11.64028652595059,0.5681603
-21.02552,-21.001965,11.462557636737557,0.70327526
-25.354513,-25.356714,11.37126964647042,0.4638707
-21.177427,-21.216833,11.694475462880433,2.9968627e-05
-20.407925,-20.420082,11.68173633128969,0.629876
-21.457016,-21.486279,11.363015001611485,0.68013525
-20.106863,-20.305101,11.723036618082551,0.30962843
-19.106117,-19.336645,11.648615677530854,0.0408839
-24.427454,-24.465944,11.715388818316809,0.36940718
-23.00049,-23.105831,11.740285396468858,0.63515973
-22.854992,-22.82439,11.331897356469485,0.5847187
-19.927994,-19.921968,11.322110817126362,0.73116505
-23.550777,-23.643435,11.529258326514242,0.73407066
-23.3105,-23.38857,11.847323430754642,0.33363923
-22.655815,-22.69844,11.743560383348996,0.11943635
-20.956385,-20.989466,11.6364364310077,4.3084483e-06
-19.955442,-20.015545,11.600578944405644,0.5844017
-23.664328,-23.99869,12.326902360270417,0.43374056
-21.948507,-22.058743,11.813463248041632,0.44708753
-23.27076,-23.288073,11.561632417815018,0.60853165
-23.116566,-23.1004,11.404215206936957,0.19903347
-23.671036,-23.783138,11.828462106027743,0.54955226
-20.672527,-20.701462,11.527619006693929,0.032640934
-21.918913,-21.939045,11.50135552662155,0.04714912
-24.291931,-24.389938,11.860261237427524,0.75548863
-21.076937,-21.01228,11.55383660934389,0.25852183
-20.210978,-20.245485,11.49537408900962,0.4962629
-24.332338,-24.479992,11.846357662591478,0.5689233
-19.732546,-19.810724,11.888408544048263,0.08625966
-23.128716,-23.16309,11.687536069303118,0.32977903
-22.47018,-22.43024,11.410490944436287,0.5582146
-21.711956,-21.750103,11.6679871723845,0.81394756
-21.73677,-21.746967,11.52911095096929,0.6827235
-19.730139,-19.744614,11.705072481902597,1.3023465e-06
-22.780222,-22.786867,11.619893843028649,0.4400493
-22.590364,-22.601385,11.431943255765837,0.36449724
-22.682627,-22.699123,11.627644918298067,0.71081823
-21.624174,-21.663149,11.6534451549404,0.44724265
-19.691336,-19.729881,11.61307455311102,2.9080915e-08
-22.912725,-22.95291,11.629667592842345,0.24362609
-23.048317,-23.080154,11.688230949979305,0.19279292
-21.6963,-21.697943,11.485709157852083,0.60231996
-20.86565,-20.866297,11.598650377120086,0.30696943
-23.439476,-23.542181,11.880091078421112,0.24769399
-21.709446,-21.674973,11.54051752717307,0.48668006
-21.706228,-21.721973,11.560222550574952,0.03484255
-19.684574,-19.826012,12.117138221143009,6.762699e-05
-20.833094,-20.706638,11.152128508282065,0.019015491
-24.05895,-24.174923,11.810461027066475,0.86194444
-19.806557,-19.813063,11.693551424278409,0.0029336214
-24.286476,-24.373608,11.613493931693593,0.43158668
-18.657217,-18.979448,11.751219589795667,0.5880941
-21.751991,-21.748568,11.680574467401485,0.015143454
-21.257555,-21.271587,11.66938936330064,0.6312486
-22.457325,-22.545708,11.711898350830644,0.6047106
-21.114597,-21.051943,11.37219818605268,0.5184212
-20.285646,-20.260057,11.448713251778734,0.70249456
-23.379768,-23.406235,11.835016444714663,0.54049927
-22.73802,-22.791151,11.667519585777871,0.4501397
-20.950907,-20.96963,11.626930591776313,8.3566585e-05
-24.330631,-24.40438,11.59200828953453,0.8227483
-24.12683,-24.162666,11.468494052280546,0.7742057
-19.591196,-19.642864,11.513147563759556,0.005673349
-23.905592,-24.061924,11.90178411889655,0.7436483
-23.074167,-23.103573,11.596901359567248,0.36941946
-22.131962,-22.161104,11.64058251315866,0.7482938
-20.3271,-20.32154,11.496067304070811,0.0042324066
-23.685421,-23.736082,11.555066024312708,0.55224115
-20.346907,-20.40733,11.552852777696266,0.00036025047
-24.28918,-24.3084,11.554451537054877,0.7440007
-24.060364,-24.162474,11.74403982401909,0.6427262
-24.244799,-24.205885,11.41416111097099,0.78021777
-21.835657,-21.873083,11.644957191424378,0.39267272
-19.47877,-19.620335,11.670819732420052,0.015166163
-23.680712,-23.656275,11.453785813122323,0.1656406
-21.94313,-21.967764,11.486974672530756,4.1941166e-05
-20.866571,-20.831863,11.372993538504335,0.0006442368
-23.104664,-23.121939,11.561203474404468,0.5592419
-22.364706,-22.39442,11.638924983255023,0.37897688
-21.662775,-21.711506,11.741753996968995,0.82680964
-23.904726,-24.002813,11.771137117695694,0.7604383
-23.045921,-23.01204,11.491020117082922,0.6260009
-19.784376,-19.776081,11.712413642596516,0.010440618
-21.790213,-21.735792,11.430648365947423,0.6071478
-20.586103,-20.572584,11.459103924949746,0.7339966
-22.663328,-22.647758,11.340975913950825,0.00046369433
-21.82987,-21.887968,11.758626977195913,0.21821463
