SFR [Msun / yr],Stellar Metallicity [Mz/Mtot],Gas Metallicity [Mz/Mtot]
2.2630506,0.014773176,0.011385107
0.26112914,0.018622193,0.025289366
0.68436927,0.01789751,0.018552255
0.0,0.017156953,0.0
0.33643985,0.012717609,0.011249047
0.43490863,0.0142234415,0.014965556
0.0,0.016386565,0.0
1.1633639,0.017190898,0.01537951
0.098395914,0.013690422,0.026610428
0.15093096,0.018070444,0.017996287
0.0,0.015414638,0.0
0.9839398,0.013185518,0.014030298
0.73658806,0.01441296,0.009229736
0.86516815,0.0139703015,0.008589461
0.6375705,0.013532503,0.014133962
0.30980977,0.015504554,0.015651422
0.0,0.017904866,0.0
0.1879024,0.013572618,0.013473362
0.2638608,0.01704255,0.018985704
0.19005531,0.0064291377,0.0066423723
0.25936085,0.009098966,0.008428769
0.026824815,0.014157395,0.023168571
0.1990669,0.016424615,0.023653537
0.0,0.01258895,0.0
0.13694344,0.013819578,0.023472
0.44873497,0.011321494,0.012398516
0.0,0.017928187,0.0
0.17103222,0.009956345,0.0075162053
0.04476777,0.011935087,0.028167725
0.0,0.016659021,0.0
0.025956782,0.012488356,0.019923663
0.4307505,0.01651703,0.023173995
0.7217245,0.01745816,0.013797181
0.0,0.012196544,0.0
0.0,0.016399998,0.0
0.4577164,0.006922585,0.006034346
0.0,0.017975165,0.0
0.004606639,0.015763475,0.023286402
0.38496742,0.01634302,0.014387666
0.00046400152,0.017660456,0.0
0.0,0.01624327,0.01815701
0.0,0.017400667,0.0
0.0,0.022857625,0.0
0.0,0.023656761,0.0
0.0,0.013132596,0.0
0.0,0.017565034,0.0
0.0,0.017637862,0.0
0.33703282,0.016051322,0.014435041
0.0,0.012455549,0.0
0.0,0.012400439,0.0
0.0,0.012550523,0.0
0.0,0.013599966,0.0
0.0,0.014382335,0.0
0.13521624,0.011648592,0.014295755
0.0,0.010652294,0.0
0.0,0.016658045,0.0
0.0,0.011259322,0.0
0.3931115,0.019706499,0.018671662
0.0,0.009839292,0.0
0.0,0.012558142,0.0
0.0,0.012807791,0.0
0.0,0.018688658,0.0
0.0,0.015534993,0.0
0.0,0.027207416,0.0
0.09382625,0.008852718,0.00731694
0.0,0.019521493,0.0
0.0,0.012532466,0.0
0.08233393,0.01429467,0.0208487
0.05121018,0.011183076,0.016083343
0.0,0.007404741,0.0
0.0,0.01233939,0.0
0.047227748,0.010432933,0.013543332
0.0,0.015808545,0.0
0.0,0.012451782,0.0
0.0,0.011907873,0.0
0.06977531,0.010214027,0.012315784
0.0,0.014349229,0.0
0.047624398,0.0073708803,0.011660523
0.0,0.013392801,0.0
0.0,0.009861223,0.0
0.07405088,0.013728875,0.02113447
0.08703058,0.012935631,0.018843532
0.16970731,0.00822017,0.009953658
0.0,0.008005121,0.0
0.0,0.013347534,0.0
0.0,0.008503772,0.0
0.0,0.016772501,0.0
0.0,0.010173574,0.0
0.09801266,0.015986456,0.018126955
0.0,0.010617565,0.0
0.0,0.015121159,0.0
0.013454088,0.0066166515,0.004982227
0.0,0.019067468,0.0
0.0,0.01106216,0.0
0.0,0.0075328657,0.0
0.0121794725,0.011690792,0.020055596
0.0,0.007948303,0.0
0.0,0.009888474,0.0
0.0,0.010491068,0.0
0.0,0.059636027,0.0
0.0,0.025752136,0.0
0.0,0.012659803,0.0
0.0,0.008829146,0.0
0.0,0.0090984,0.0
0.0,0.005964345,0.0
0.0,0.012160272,0.0
0.0,0.0072973976,0.0
0.0,0.0080430815,0.0
0.0,0.015586436,0.0
0.0,0.010416633,0.0
0.0,0.008619221,0.007864006
0.0,0.012330676,0.0
0.0,0.005932651,0.0
0.0,0.0051121656,0.0
0.0,0.009577975,0.0
0.0,0.015718637,0.0
0.0,0.008443804,0.0
