SFR [Msun / yr],Stellar Metallicity [Mz/Mtot],Gas Metallicity [Mz/Mtot]
0.18267953,0.019663008,0.026576146
0.13530186,0.018135224,0.036946334
1.6872435,0.01256177,0.011779437
0.0,0.019961586,0.0
0.6558674,0.018779319,0.028640509
0.2183972,0.008234915,0.010343611
0.517355,0.009457958,0.010557004
0.0,0.018982796,0.0
0.05732964,0.00972588,0.013038393
0.06313835,0.012117845,0.012820569
0.0,0.019237602,0.0
0.0,0.016396662,0.0
0.0,0.01973351,0.0
0.07303281,0.019596629,0.043905042
0.0,0.022056699,0.0
0.4854791,0.025562217,0.022828942
0.24232785,0.0112771075,0.014201183
0.13780157,0.010615475,0.013457724
0.0,0.017659407,0.0
0.0,0.0166844,0.04517072
0.0,0.019677928,0.0
0.041175056,0.016131828,0.043815598
0.52779204,0.011465823,0.015565935
0.0,0.011449252,0.0
0.0,0.017226448,0.0
0.0,0.01328032,0.0
0.0,0.011860441,0.0
0.0,0.025498783,0.0
0.0,0.00923794,0.0
0.06295227,0.012014099,0.014496935
0.10964065,0.0050037107,0.0040000873
0.097535655,0.015181401,0.02523233
0.4969891,0.010464177,0.012170273
0.0,0.01669939,0.0
0.0,0.0047091627,0.0
0.0,0.0240997,0.0
0.11960836,0.011108657,0.018129397
0.26115617,0.0063200328,0.0045701987
0.07328367,0.008395416,0.007589302
0.0,0.019478047,0.0
0.03397969,0.004288921,0.002705819
0.38958523,0.008741529,0.0113115525
0.0033298556,0.010614086,0.020670839
0.0,0.013469947,0.0
0.0,0.032056328,0.0
0.0,0.014349826,0.0
0.29756138,0.010069895,0.009596479
0.015025164,0.007049624,0.0077025974
0.0,0.014157995,0.0
0.0,0.013766787,0.0
0.0,0.019164145,0.0
0.058092926,0.0072719213,0.0051872293
0.1268864,0.007220068,0.0105245765
0.059718803,0.009543484,0.013376093
0.0,0.016877823,0.0
0.0,0.023624718,0.0
0.0,0.007505742,0.0
0.0,0.014040654,0.0
0.0,0.012717286,0.0
0.0,0.009705821,0.0135610225
0.0,0.01993481,0.0
0.0,0.021451205,0.0
0.028395915,0.00726396,0.0039277524
0.007046984,0.007193724,0.007088462
0.028053103,0.012522887,0.018569062
0.0,0.006044481,0.0
0.0,0.01712832,0.0
0.0,0.019251991,0.0
0.0,0.016372971,0.0
15.830803,0.047762435,0.04472011
0.0,0.009474489,0.0
0.0,0.037694342,0.0
0.0,0.02185921,0.0
0.0,0.026692571,0.0
0.0,0.014185168,0.0
0.0,0.009650997,0.0
0.0,0.019413162,0.0
0.0,0.0075539644,0.0
0.0,0.013593059,0.0
0.0,0.010789695,0.0
0.0,0.012610501,0.0
0.0,0.016317578,0.0
0.0,0.009842503,0.0
0.0,0.010129691,0.0
0.0,0.008544403,0.0
0.0,0.04223136,0.0
0.0,0.017937072,0.0
0.0,0.0060718586,0.0
0.295345,0.042877566,0.052533958
0.0,0.021069866,0.0
0.0,0.018458918,0.0
0.0,0.010248255,0.0
0.0,0.04866049,0.0
0.0,0.024060009,0.0
0.0,0.005812765,0.0
0.0,0.007790102,0.0
0.0,0.009098553,0.0
0.0,0.005423575,0.0
0.0,0.009606087,0.0
0.0,0.002140568,0.0
0.0,0.0041302615,0.0
0.0,0.007207405,0.0
0.0,0.008341617,0.0
0.010592605,0.0028616735,0.003910399
0.0,0.0050386274,0.0
0.0,0.008083803,0.0
0.0,0.013376025,0.0
0.0,0.050476488,0.0
0.044525836,0.006091877,0.0057095615
0.0,0.009109154,0.0
0.0,0.0034630692,0.0
0.24288777,0.00741774,0.006206125
0.0,0.007218584,0.0
0.0,0.017361809,0.0
0.0,0.0080643445,0.0
0.0,0.0068868087,0.0
0.0,0.0121570295,0.0
0.0,0.0056218184,0.0
0.0,0.008648104,0.0
0.0,0.006563741,0.0
0.0,0.0116588175,0.0
0.0,0.016053779,0.0
0.0,0.005782288,0.0
0.0,0.044888057,0.0
0.0,0.04692361,0.0
0.0,0.0043934016,0.0
0.0,0.011681586,0.0
0.0,0.009994838,0.0
0.0,0.0030318461,0.0028413986
0.0,0.0020101846,0.0
0.0,0.032794405,0.0
0.0,0.004086394,0.004291356
0.0,0.010503993,0.0
0.0,0.006388008,0.0
0.0,0.005805479,0.0
0.0,0.014885249,0.0
0.0,0.0046780487,0.0
0.0,0.009922801,0.0
0.0,0.029305153,0.0
0.0,0.0070451144,0.005934885
0.0,0.042642366,0.0
0.0,0.01357843,0.0
0.0,0.02590066,0.0
0.0,0.0030100332,0.0
0.0,0.008395901,0.0
0.0,0.0075551798,0.0
0.0,0.0051828558,0.0
0.0,0.017011829,0.0
0.0,0.011137541,0.0
0.0,0.01083182,0.0
0.0,0.0063311374,0.0
